Unnamed: 0,word,polysemy,freq2010,freq2020,type,semantic_change,most_common,Noun_binary,Verb_binary,Adj_binary,Adverb_binary,normalized_semantic_change
130,underpainting,1.0,2.9,5.9343749999999975,nonslang,0.7210470706043306,Noun,1,1,1,0,0.4683383169587142
131,morphology,4.0,18.88,41.09375,nonslang,0.7452372178694678,Noun,1,0,0,0,0.7081288568445986
132,avoiders,1.0,4.28,31.0890625,nonslang,0.7391933594334996,Noun,1,0,0,0,0.6482176846855375
133,outlawing,1.0,16.55,59.45,nonslang,0.7355751856750099,Verb,1,1,0,0,0.6123516839770765
134,protocol,3.0,703.65,2342.0546875,nonslang,0.7435159830629748,Noun,1,1,1,0,0.6910667108809746
135,ignites,4.0,128.4,79.8328125,nonslang,0.7433581441890441,Verb,1,1,0,0,0.6895020958176601
136,didot,1.0,36.38,5.9796875,nonslang,0.7345295251047381,Noun,1,1,1,0,0.6019863269606596
137,sculptured,4.0,14.55,15.390625,nonslang,0.7401030286355093,Verb,0,1,1,0,0.6572349951912003
138,committeeman,1.0,4.65,3.5546875,nonslang,0.7466526242628586,Noun,1,1,1,0,0.7221594065353087
139,snug,5.0,239.55,137.54687499999997,nonslang,0.7395951347127745,Noun,1,1,1,1,0.6522003768979563
140,mistreatment,1.0,28.2,715.71875,nonslang,0.7430666523158251,Noun,1,1,1,0,0.6866126138775372
141,greeting,5.0,1241.17,2576.4328125,nonslang,0.7448227215002048,Verb,1,1,0,0,0.7040200638274693
142,groans,2.0,188.95,90.7109375,nonslang,0.7445569643145307,Noun,1,1,0,0,0.7013856830470268
143,unlike,2.0,2505.93,5838.6375,nonslang,0.7397198849812043,Noun,0,0,0,0,0.653436993355468
144,unmatched,2.0,99.55,1564.5234375,nonslang,0.7440809193151896,Adj,0,1,1,0,0.6966667747183254
145,steeple,1.0,37.85,33.4421875,nonslang,0.7344794684376671,Noun,1,1,1,0,0.6014901284427138
146,estimated,2.0,1845.12,2661.25,nonslang,0.7481290378560117,Verb,0,1,1,0,0.7367947044818932
147,contenders,1.0,370.8,510.53125,nonslang,0.7444193265524806,Noun,1,0,0,0,0.7000213162695559
148,allotted,4.0,37.38,184.546875,nonslang,0.7446526198108625,Verb,0,1,1,0,0.7023338907142666
149,enhancements,1.0,216.9,106.5625,nonslang,0.7465371264260412,Noun,1,1,0,0,0.7210145069882931
150,copyediting,1.0,17.23,9.003124999999997,nonslang,0.7263979156173561,Verb,1,1,1,0,0.5213798301192503
151,adulterous,2.0,31.7,59.996875,nonslang,0.7428585250217421,Adj,0,0,1,0,0.6845495029892011
152,upgrade,11.0,5741.82,3541.2656249999995,nonslang,0.7376268912462959,Noun,1,1,1,0,0.6326896993365192
153,intimidator,1.0,28.75,14.940625,nonslang,0.7357844831830429,Noun,1,0,0,0,0.6144263948871805
154,unicorn,3.0,1434.03,1463.59375,nonslang,0.7344288645369851,Adj,1,0,1,0,0.600988505342537
155,haircut,3.0,4488.2,2652.1249999999995,nonslang,0.7152936630916207,Noun,1,1,1,0,0.41130630807778823
156,inclusive,4.0,2083.45,6913.4890625,nonslang,0.7516323567736438,Adj,1,1,1,0,0.7715221794924374
157,performative,3.0,5.15,1128.14,nonslang,0.7385203418114406,Adj,1,0,1,0,0.641546238779177
158,lowkey,3.0,2533.12,5755.03,slang,0.7271502406701991,Adj,1,1,1,1,0.5288374296375004
159,chillax,2.0,315.57,87.13,slang,0.7320791722152504,Noun,1,1,1,0,0.5776966260406491
160,bling,8.0,1361.55,500.0,slang,0.7452511085572637,Verb,1,1,0,0,0.7082665515634217
