,words
1970,sciced
1971,scissor
1972,sci-ti
1973,SCNR
1974,scoot
1975,scootch
1976,scope
1977,score
1978,scratch
1979,scream
1980,screaming
1981,screenie
1982,screw
1983,screwed
1984,screwy
1985,scrilla
1986,scrip
1987,scrog
1988,scrub
1989,scrubb
1990,scum-bucket
1991,scur
1992,sec
1993,see
1994,seed
1995,selector
1996,self-abuse
1997,selfie
1998,senioritis
1999,service
2000,sesh
2001,sex
2002,sexeh
2003,sexface
2004,sexploit
2005,sexy
2006,SFSG
2007,SFW
2008,SGTM
2009,shaddup
2010,shady
2011,shaft
2012,shag
2013,shagged
2014,shareware
2015,shart
2016,shawty
2017,shedload
2018,sheep
2019,sheesh
2020,sheezy
2021,Sheila
2022,sheisty
2023,shelfware
2024,shiesty
2025,shiksa
2026,shindig
2027,shit
2028,shitballs
2029,shite
2030,shitface
2031,shit-faced
2032,shitfucker
2033,shithead
2034,shitlist
2035,shit-load
2036,shitter
2037,shitty
2038,shiv
2039,shiz
2040,shiznat
2041,shiznit
2042,shiznut
2043,shizz
2044,shizzle
2045,shlick
2046,shlong
2047,shmacked
2048,shmancy
2049,shmuck
2050,shmup
2051,shnockered
2052,shocker
2053,shoe-leather
2054,sho'nuff
2055,shook
2056,shoot
2057,shorty
2058,shotgun
2059,shotter
2060,shoulda
2061,shovelware
2062,show
2063,showstopper
2064,shrapnel
2065,shredded
2066,shrinkage
2067,shroom
2068,SHTF
2069,shtick
2070,shwasted
2071,sicc
2072,sick
2073,sike
2074,simoleon
2075,sing
2076,sinse
2077,sis
2078,sister
2079,sitch
2080,sit-down
2081,SIU
2082,six
2083,sixer
2084,six-figure
2085,skedaddle
2086,skeered
2087,skeeter
2088,skeevy
2089,skerred
2090,sketch
2091,sketchy
2092,ski
2093,-ski
2094,skills
2095,skillz
2096,skinny-dip
2097,skint
2098,skippy
2099,skrill
2100,skrilla
