,words
829,capeesh
830,capital-
831,capitol
832,carny
833,carrot snapper
834,carry a torch
835,car surf
836,case of the Mondays
837,cash
838,cashed
839,casting couch
840,cat
841,catch and release
842,catcher
843,catch later
844,catch on
845,catch some z's
846,catch the d
847,catch the fair one
848,cathouse
849,cat nap
850,cat's ass
851,cattywompus
852,'cause
853,"cavalry, the"
854,cave
855,CBA
856,CCW
857,celeb
858,celebrate 4-20
859,celebutante
860,celebutard
861,cell
862,cellar saver
863,celly
864,cereal
865,certifiable
866,cewebrity
867,CFM boots
868,cha ching
869,Chair Force
870,champagne problem
871,champers
872,Charlie Foxtrot
873,chase (one's) tail
874,chase paper
875,chatterbox
876,cheat sheet
877,check out
878,cheddar
879,chedder
880,cheeky few
881,cheerio
882,cheese
883,cheese and rice
884,cheesed off
885,cheesiness
886,cheesy
887,chemo
888,cherry
889,cherry-tops
890,Chevy
891,chew
892,chew out
893,chew the fat
894,chica
895,chicadee
896,chick
897,chicken
898,chicken hawk
899,chicken head
900,chicken out
901,chick flick
902,chiclets
903,chill
904,chillax
905,chillaxx
906,chillbilly
907,chill out
908,Chinese fire drill
909,chintzy
910,chinwag
911,chip in
912,chiquita
913,choad
914,choccy milk
915,chockablock
916,chocolate cum
917,chocolate starfish
918,choda
919,chode
920,chode muffin
921,choice
922,choice mom
923,choke the chicken
924,chomp at the bit
925,chones
926,chopper
927,chow
928,chowder head
929,chow down
930,chreaster
931,Chrismahanukwanzakah
932,Christian side hug
933,Christmahanakwanzika
934,Christmahanukwanzakah
935,Christmas creep
936,Christmas on a cracker
937,Christ on a bike
938,chub
939,chubbie
940,chuck
941,chucklehead
942,chuck (one's) cookies
943,chucks
944,chuddy
945,chug on over
946,chum
947,chunky
948,CI
949,cig
950,cigarette butt
951,ciggy
952,CIMM
953,cinch
954,cinchy
955,circle jerk
956,circle the drain
957,-city
958,clam up
959,clap back
960,classic
961,clean (one's) plate
962,clean out
963,clean up good
964,clean up nicely
965,clear (one's) head
966,cleave
967,click-bait
968,clicker
969,"clink, the"
970,clit-lit
971,clock in at
972,clod
973,clone
974,close (one's) barn door
975,clown hole
976,clue
977,clueless
978,clunge
979,clunker
980,clutch player
981,"clutch, the"
982,c'mon
983,c-note
984,coaster
985,cockbag
986,cock block
987,cock-juggling thunder cunt
988,cocksucker
989,cock up
990,code monkey
991,codger
992,codswallop
993,coffin nail
994,coiler
995,coil some rope
996,coin purse
997,cojelo con take it easy
998,cojones
999,coke
1000,coked up
1001,coke whore
1002,cold
1003,colder than a well digger's ass
1004,colder than a witch's tit
1005,cold feet
1006,cold one
1007,colitas
1008,collar
1009,colon blow
1010,color me
1011,colors
1012,come on over
1013,come over
1014,commie
1015,compo
1016,compooter
1017,compy
1018,con
1019,con call
1020,condo
1021,congrats
1022,connect the dots
1023,conniption
1024,constipated overweight old lady
1025,context switch
1026,conversate
1027,convo
1028,cooch
1029,coochie
